,timestamp,time_granted,V
141,2021-08-06 11:50:10,42610.0,(303.1735592537749+164.65355437826977j)
142,2021-08-06 11:55:10,42910.0,(294.0835227451212+180.38814165520915j)
143,2021-08-06 12:00:10,43210.0,(308.8503509292063+153.74153872947326j)
144,2021-08-06 12:05:10,43510.0,(310.28373410149493+150.82773071299843j)
145,2021-08-06 12:10:10,43810.0,(308.94978675773905+153.5416206191258j)
146,2021-08-06 12:15:10,44110.0,(312.17789274621754+146.8671620224586j)
147,2021-08-06 12:20:10,44410.0,(289.8160242405471+187.16749742784572j)
148,2021-08-06 12:25:10,44710.0,(306.9374664007493+157.5258446080798j)
149,2021-08-06 12:30:10,45010.0,(304.75755713557544+161.70291082338767j)
150,2021-08-06 12:35:10,45310.0,(298.3644106844368+173.2156991641599j)
151,2021-08-06 12:40:10,45610.0,(302.36116732317134+166.14067682229174j)
152,2021-08-06 12:45:10,45910.0,(300.937833257854+168.70512889081968j)
153,2021-08-06 12:50:10,46210.0,(304.0553854010496+163.01939335127952j)
154,2021-08-06 12:55:10,46510.0,(307.9292918968637+155.57811925812743j)
155,2021-08-06 13:00:10,46810.0,(307.8079950885543+155.81796481652728j)
156,2021-08-06 13:05:10,47110.0,(285.88620575770426+193.11674540925648j)
157,2021-08-06 13:10:10,47410.0,(287.7918049838517+190.265280553591j)
158,2021-08-06 13:15:10,47710.0,(297.91031254173174+173.99553350959243j)
159,2021-08-06 13:20:10,48010.0,(307.1536861928445+157.10382890988885j)
160,2021-08-06 13:25:10,48310.0,(307.0002115413307+157.40352636957726j)
161,2021-08-06 13:30:10,48610.0,(316.8508445344427+136.4937446105515j)
162,2021-08-06 13:35:10,48910.0,(293.9514632125163+180.60325931505412j)
163,2021-08-06 13:40:10,49210.0,(303.02563760641755+164.925628551854j)
164,2021-08-06 13:45:10,49510.0,(310.50163077918+150.3786463679926j)
165,2021-08-06 13:50:10,49810.0,(291.33544728434583+184.79355279779148j)
166,2021-08-06 13:55:10,50110.0,(308.75009788461136+153.94277201688587j)
167,2021-08-06 14:00:10,50410.0,(303.6112893829735+163.84500285089055j)
168,2021-08-06 14:05:10,50710.0,(326.2184577076719+112.27875066470894j)
169,2021-08-06 14:10:10,51010.0,(305.6345803772083+160.03906797294152j)
170,2021-08-06 14:15:10,51310.0,(301.78079507989736+167.1925588085337j)
171,2021-08-06 14:20:10,51610.0,(285.79473232505813+193.252091774574j)
172,2021-08-06 14:25:10,51910.0,(302.41720457201825+166.03865326738247j)
173,2021-08-06 14:30:10,52210.0,(297.1531161734899+175.28555430606497j)
174,2021-08-06 14:35:10,52510.0,(295.6876787524769+177.74643915975363j)
175,2021-08-06 14:40:10,52810.0,(320.4700516090885+127.76519878929528j)
176,2021-08-06 14:45:10,53110.0,(303.51076273536313+164.03114613937836j)
177,2021-08-06 14:50:10,53410.0,(320.4222279370751+127.8850884342701j)
178,2021-08-06 14:55:10,53710.0,(304.53938521260613+162.1134258916512j)
179,2021-08-06 15:00:10,54010.0,(318.14841129772134+133.4413293876224j)
180,2021-08-06 15:05:10,54310.0,(327.14235224192885+109.55766230445843j)
181,2021-08-06 15:10:10,54610.0,(329.0790419507985+103.59529018611126j)
182,2021-08-06 15:15:10,54910.0,(322.8922466664811+121.51377305751106j)
183,2021-08-06 15:20:10,55210.0,(331.16567665628753+96.717602352329j)
184,2021-08-06 15:25:10,55510.0,(328.95939936359207+103.97458136652786j)
185,2021-08-06 15:30:10,55810.0,(321.36547824654235+125.49593376429016j)
186,2021-08-06 15:35:10,56110.0,(319.6900429032954+129.70457381483948j)
187,2021-08-06 15:40:10,56410.0,(319.2256221387521+130.84342616320725j)
188,2021-08-06 15:45:10,56710.0,(323.64839141672337+119.4852239122789j)
189,2021-08-06 15:50:10,57010.0,(332.1857822925541+93.15366897059842j)
190,2021-08-06 15:55:10,57310.0,(331.0495333061162+97.11439902405137j)
191,2021-08-06 16:00:10,57610.0,(336.48887398262406+76.15929152707326j)
192,2021-08-06 16:05:10,57910.0,(320.3189444930568+128.14356713801118j)
193,2021-08-06 16:10:10,58210.0,(336.6791358605725+75.31374028806523j)
194,2021-08-06 16:15:10,58510.0,(337.47216953963994+71.67659859541689j)
195,2021-08-06 16:20:10,58810.0,(325.7635063124632+113.59198015269261j)
196,2021-08-06 16:25:10,59110.0,(324.7228145281662+116.5336591929824j)
197,2021-08-06 16:30:10,59410.0,(334.0901981038665+86.07403517274678j)
198,2021-08-06 16:35:10,59710.0,(333.5312418958482+88.21513860677881j)
199,2021-08-06 16:40:10,60010.0,(332.9104737934881+90.52964397696081j)
200,2021-08-06 16:45:10,60310.0,(331.8479638764568+94.35003376284413j)
201,2021-08-06 16:50:10,60610.0,(334.6846751119411+83.73271908408583j)
202,2021-08-06 16:55:10,60910.0,(331.24726560271233+96.43779876545382j)
203,2021-08-06 17:00:10,61210.0,(325.9768956791589+112.97815489455827j)
204,2021-08-06 17:05:10,61510.0,(326.5577746287726+111.28800397843308j)
205,2021-08-06 17:10:10,61810.0,(337.0528299486021+73.62329674524702j)
206,2021-08-06 17:15:10,62110.0,(329.36894413264923+102.66985263914522j)
207,2021-08-06 17:20:10,62410.0,(335.81250886419434+79.08829806194726j)
208,2021-08-06 17:25:10,62710.0,(334.83350167437897+83.13558898855332j)
209,2021-08-06 17:30:10,63010.0,(333.3941048050018+88.7320172275571j)
210,2021-08-06 17:35:10,63310.0,(338.9483341118044+64.33526873210863j)
211,2021-08-06 17:40:10,63610.0,(338.27355084055273+67.79384044088347j)
212,2021-08-06 17:45:10,63910.0,(333.0608318967563+89.97489792292413j)
213,2021-08-06 17:50:10,64210.0,(333.041957154418+90.04473762944058j)
214,2021-08-06 17:55:10,64510.0,(335.8172730183361+79.06806651568212j)
215,2021-08-06 18:00:10,64810.0,(333.15972872689565+89.60800831745631j)
216,2021-08-06 18:05:10,65110.0,(337.37765334041825+72.1201707326915j)
217,2021-08-06 18:10:10,65410.0,(334.3563539472892+85.0342788237489j)
218,2021-08-06 18:15:10,65710.0,(331.52020638383857+95.49530228873607j)
219,2021-08-06 18:20:10,66010.0,(338.1729459216216+68.2939136870337j)
220,2021-08-06 18:25:10,66310.0,(333.0315980805284+90.08304324305095j)
221,2021-08-06 18:30:10,66610.0,(331.5202342787158+95.49520544920253j)
222,2021-08-06 18:35:10,66910.0,(341.5379907913444+48.75244451524002j)
223,2021-08-06 18:40:10,67210.0,(339.98212564878156+58.62724826679226j)
224,2021-08-06 18:45:10,67510.0,(340.68118929750864+54.41807841917128j)
225,2021-08-06 18:50:10,67810.0,(338.3141747844784+67.59082141753727j)
