# timestamp,positive_sequence_voltage,distribution_load_real,distribution_load_reac
8/2/2021 1:00,199186,1108020,849213
8/2/2021 1:05,199186,1111570,849145
8/2/2021 1:10,199186,1099740,845922
8/2/2021 1:15,199186,1081360,846889
8/2/2021 1:20,199186,1109560,846947
8/2/2021 1:25,199186,1093610,846124
8/2/2021 1:30,199186,1103390,848895
8/2/2021 1:35,199186,1124380,847289
8/2/2021 1:40,199186,1085150,845939
8/2/2021 1:45,199186,1090070,847183
8/2/2021 1:50,199186,1064450,845124
8/2/2021 1:55,199186,1058240,843333
8/2/2021 2:00,199186,1086320,843957
8/2/2021 2:05,199186,1083550,843574
8/2/2021 2:10,199186,1102270,845118
8/2/2021 2:15,199186,1061610,843208
8/2/2021 2:20,199186,1087870,843171
8/2/2021 2:25,199186,1103770,843701
8/2/2021 2:30,199186,1108010,844353
8/2/2021 2:35,199186,1089730,843618
8/2/2021 2:40,199186,1079080,843711
8/2/2021 2:45,199186,1083880,844740
8/2/2021 2:50,199186,1093460,843761
8/2/2021 2:55,199186,1092980,844849
8/2/2021 3:00,199186,1090110,843184
8/2/2021 3:05,199186,1070820,841463
8/2/2021 3:10,199186,1060470,840968
8/2/2021 3:15,199186,1112010,842597
8/2/2021 3:20,199186,1095910,841783
8/2/2021 3:25,199186,1149240,848163
8/2/2021 3:30,199186,1126930,842875
8/2/2021 3:35,199186,1127570,844017
8/2/2021 3:40,199186,1084760,844042
8/2/2021 3:45,199186,1066700,843504
8/2/2021 3:50,199186,1085790,844424
8/2/2021 3:55,199186,1128770,843611
8/2/2021 4:00,199186,1119620,842866
8/2/2021 4:05,199186,1135510,843919
8/2/2021 4:10,199186,1162780,842105
8/2/2021 4:15,199186,1136650,842199
8/2/2021 4:20,199186,1141540,844985
8/2/2021 4:25,199186,1115030,842480
8/2/2021 4:30,199186,1155040,843085
8/2/2021 4:35,199186,1181400,844525
8/2/2021 4:40,199186,1186540,844818
8/2/2021 4:45,199186,1190080,844574
8/2/2021 4:50,199186,1194960,843603
8/2/2021 4:55,199186,1208510,843956
8/2/2021 5:00,199186,1254610,845651
8/2/2021 5:05,199186,1250290,846466
8/2/2021 5:10,199186,1250230,847189
8/2/2021 5:15,199186,1197950,847758
8/2/2021 5:20,199186,1210450,848218
8/2/2021 5:25,199186,1260090,851686
8/2/2021 5:30,199186,1267490,849666
8/2/2021 5:35,199186,1312680,852801
8/2/2021 5:40,199186,1324080,855810
8/2/2021 5:45,199186,1272210,850942
8/2/2021 5:50,199186,1305840,853736
8/2/2021 5:55,199186,1320980,853341
8/2/2021 6:00,199186,1328060,851834
8/2/2021 6:05,199186,1367490,854499
8/2/2021 6:10,199186,1412280,859936
8/2/2021 6:15,199186,1373040,861303
8/2/2021 6:20,199186,1343330,856042
8/2/2021 6:25,199186,1374230,855945
8/2/2021 6:30,199186,1414490,858305
8/2/2021 6:35,199186,1374630,861650
8/2/2021 6:40,199186,1379850,859218
8/2/2021 6:45,199186,1378930,858438
8/2/2021 6:50,199186,1405260,863224
8/2/2021 6:55,199186,1426820,862146
