# file...... outputs/Substation_output.csv
# date...... Fri Nov 07 18:57:18 2025
# user...... jacob
# host...... (null)
# target.... substation 9272
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load,distribution_power_A,distribution_power_B,distribution_power_C
2021-08-08 13:00:00 CDT,+199186+0i,+1.48453e+06+1.06044e+06j,+479868+538177j,+445444+371988j,+559214+150273j
2021-08-08 13:05:00 CDT,+199186+0i,+1.55421e+06+1.06511e+06j,+506294+535656j,+465936+379857j,+581981+149598j
2021-08-08 13:10:00 CDT,+199186+0i,+1.62655e+06+1.09379e+06j,+582244+558145j,+471336+389912j,+572967+145733j
2021-08-08 13:15:00 CDT,+199186+0i,+1.49621e+06+1.05121e+06j,+510926+528834j,+409125+371668j,+576156+150704j
2021-08-08 13:20:00 CDT,+199186+0i,+1.47307e+06+1.04728e+06j,+514598+537019j,+426612+372582j,+531862+137679j
2021-08-08 13:25:00 CDT,+199186+0i,+1.66211e+06+1.11025e+06j,+542850+548689j,+479124+389606j,+640135+171952j
2021-08-08 13:30:00 CDT,+199186+0i,+1.63733e+06+1.10406e+06j,+545169+549566j,+486279+397132j,+605883+157363j
2021-08-08 13:35:00 CDT,+199186+0i,+1.70597e+06+1.11763e+06j,+596567+561804j,+497014+399277j,+612388+156547j
2021-08-08 13:40:00 CDT,+199186+0i,+1.78392e+06+1.14205e+06j,+609965+564071j,+502610+397581j,+671345+180397j
2021-08-08 13:45:00 CDT,+199186+0i,+1.61186e+06+1.08528e+06j,+552111+543954j,+457494+383818j,+602254+157513j
2021-08-08 13:50:00 CDT,+199186+0i,+1.49601e+06+1.05639e+06j,+502868+540977j,+460247+383125j,+532896+132290j
2021-08-08 13:55:00 CDT,+199186+0i,+1.79726e+06+1.16596e+06j,+600557+571270j,+523103+403795j,+673602+190893j
2021-08-08 14:00:00 CDT,+199186+0i,+1.5712e+06+1.0665e+06j,+553868+548294j,+476458+381783j,+540876+136426j
2021-08-08 14:05:00 CDT,+199186+0i,+1.73364e+06+1.1326e+06j,+582753+563520j,+540364+397009j,+610528+172074j
2021-08-08 14:10:00 CDT,+199186+0i,+1.79696e+06+1.14795e+06j,+570292+558683j,+607064+415518j,+619605+173749j
2021-08-08 14:15:00 CDT,+199186+0i,+1.81398e+06+1.13624e+06j,+600960+564903j,+621098+412138j,+591921+159195j
2021-08-08 14:20:00 CDT,+199186+0i,+1.89466e+06+1.1511e+06j,+649544+576133j,+585044+396025j,+660076+178943j
2021-08-08 14:25:00 CDT,+199186+0i,+1.80831e+06+1.12886e+06j,+592963+554445j,+575243+400323j,+640109+174088j
2021-08-08 14:30:00 CDT,+199186+0i,+1.86128e+06+1.15778e+06j,+604872+567539j,+624112+419793j,+632299+170448j
2021-08-08 14:35:00 CDT,+199186+0i,+1.76408e+06+1.11568e+06j,+549178+556034j,+600395+405383j,+614507+154258j
2021-08-08 14:40:00 CDT,+199186+0i,+1.84702e+06+1.13647e+06j,+605230+571839j,+576284+391400j,+665508+173228j
2021-08-08 14:45:00 CDT,+199186+0i,+2.00894e+06+1.20166e+06j,+607399+576678j,+670559+424620j,+730980+200363j
2021-08-08 14:50:00 CDT,+199186+0i,+1.86411e+06+1.14003e+06j,+591816+569941j,+618998+399445j,+653301+170641j
2021-08-08 14:55:00 CDT,+199186+0i,+1.99447e+06+1.1607e+06j,+630585+570592j,+647784+405685j,+716106+184421j
2021-08-08 15:00:00 CDT,+199186+0i,+2.01654e+06+1.178e+06j,+644863+573240j,+653963+417831j,+717715+186933j
2021-08-08 15:05:00 CDT,+199186+0i,+2.01041e+06+1.16809e+06j,+655088+580622j,+664125+418746j,+691195+168718j
2021-08-08 15:10:00 CDT,+199186+0i,+2.03389e+06+1.16847e+06j,+669070+574075j,+660861+417384j,+703957+177008j
2021-08-08 15:15:00 CDT,+199186+0i,+2.07975e+06+1.18115e+06j,+679502+573353j,+661451+419060j,+738800+188735j
2021-08-08 15:20:00 CDT,+199186+0i,+2.08281e+06+1.14569e+06j,+686410+566546j,+663147+405847j,+733250+173301j
2021-08-08 15:25:00 CDT,+199186+0i,+2.16708e+06+1.17853e+06j,+713523+572250j,+665656+413031j,+787899+193254j
2021-08-08 15:30:00 CDT,+199186+0i,+2.2646e+06+1.20673e+06j,+738506+587278j,+706864+423153j,+819233+196296j
2021-08-08 15:35:00 CDT,+199186+0i,+2.20796e+06+1.19994e+06j,+699187+581940j,+714349+427867j,+794420+190131j
2021-08-08 15:40:00 CDT,+199186+0i,+2.20314e+06+1.18954e+06j,+673395+568917j,+715072+424106j,+814675+196512j
2021-08-08 15:45:00 CDT,+199186+0i,+2.25634e+06+1.20301e+06j,+691899+567125j,+764144+437725j,+800300+198155j
2021-08-08 15:50:00 CDT,+199186+0i,+2.28308e+06+1.19868e+06j,+785928+590814j,+721439+417778j,+775711+190088j
2021-08-08 15:55:00 CDT,+199186+0i,+2.26051e+06+1.20076e+06j,+763945+588896j,+708876+419876j,+787688+191990j
2021-08-08 16:00:00 CDT,+199186+0i,+2.30637e+06+1.19511e+06j,+778635+588872j,+715134+412384j,+812599+193858j
2021-08-08 16:05:00 CDT,+199186+0i,+2.42825e+06+1.24833e+06j,+829586+605802j,+762986+434471j,+835681+208061j
2021-08-08 16:10:00 CDT,+199186+0i,+2.27216e+06+1.1954e+06j,+754713+583077j,+675799+407181j,+841651+205142j
2021-08-08 16:15:00 CDT,+199186+0i,+2.22404e+06+1.1832e+06j,+753608+586140j,+679847+410696j,+790589+186367j
2021-08-08 16:20:00 CDT,+199186+0i,+2.31865e+06+1.20886e+06j,+792689+596075j,+695299+416439j,+830665+196350j
2021-08-08 16:25:00 CDT,+199186+0i,+2.41145e+06+1.21745e+06j,+812261+589987j,+737064+429057j,+862120+198409j
2021-08-08 16:30:00 CDT,+199186+0i,+2.36638e+06+1.20737e+06j,+805870+582436j,+700497+419375j,+860012+205555j
2021-08-08 16:35:00 CDT,+199186+0i,+2.43005e+06+1.22705e+06j,+821488+592056j,+699489+412908j,+909075+222087j
2021-08-08 16:40:00 CDT,+199186+0i,+2.4276e+06+1.22511e+06j,+805570+590308j,+741983+431072j,+880043+203729j
2021-08-08 16:45:00 CDT,+199186+0i,+2.36861e+06+1.2058e+06j,+817487+594617j,+680645+408387j,+870482+202793j
2021-08-08 16:50:00 CDT,+199186+0i,+2.2964e+06+1.17401e+06j,+753280+566918j,+696249+411137j,+846871+195951j
2021-08-08 16:55:00 CDT,+199186+0i,+2.35959e+06+1.1751e+06j,+800072+574165j,+732484+419549j,+827037+181385j
2021-08-08 17:00:00 CDT,+199186+0i,+2.6541e+06+1.28641e+06j,+924425+615163j,+795397+446031j,+934277+225212j
2021-08-08 17:05:00 CDT,+199186+0i,+2.24989e+06+1.18055e+06j,+769387+575278j,+710110+413992j,+770397+191276j
2021-08-08 17:10:00 CDT,+199186+0i,+2.36074e+06+1.21915e+06j,+800755+586342j,+753292+432383j,+806692+200426j
2021-08-08 17:15:00 CDT,+199186+0i,+2.33199e+06+1.19811e+06j,+819180+587295j,+710380+411478j,+802434+199340j
2021-08-08 17:20:00 CDT,+199186+0i,+2.35658e+06+1.20487e+06j,+823996+591581j,+710526+415248j,+822058+198045j
2021-08-08 17:25:00 CDT,+199186+0i,+2.32734e+06+1.19122e+06j,+771242+574449j,+747028+420455j,+809070+196314j
2021-08-08 17:30:00 CDT,+199186+0i,+2.38543e+06+1.20886e+06j,+805419+584194j,+702292+408863j,+877721+215808j
